GeneSym	HP1504101T2D_wholeislet	HP1506401_wholeislet	HP1504901_wholeislet	HP1508501T2D_wholeislet	HP1507101_wholeislet	HP1526901T2D_wholeislet	HP1525301T2D_wholeislet
GBP1	90	103	75	355	147	203	231
LRRC8D	3364	3436	4856	3593	4196	3116	2598
HFM1	97	117	173	134	89	114	110
RPAP2	624	511	652	802	706	501	468
EVI5	1606	1864	1938	1806	1960	1450	1345
FNBP1L	8452	6228	9584	10721	10775	7131	7000
MTF2	830	894	1065	1304	952	904	776
BCAR3	761	388	845	867	823	533	796
CCDC18	67	85	87	106	79	54	81
ABCA4	4	7	8	7	10	2	44
SLC44A3	671	2041	1137	1521	1431	1093	1507
ABCD3	5718	6260	7621	7979	7663	5047	5589
LINC01057	55	84	69	125	82	70	79
TMEM56-RWDD3	9	17	9	18	11	8	23
FLJ31662	0	0	0	0	0	0	0
PTBP2	536	694	662	956	633	716	720
LOC101928241	0	0	0	0	0	0	0
DPYD	606	417	422	324	330	333	596
DPYD-AS1	0	0	0	0	0	0	0
SNX7	911	1224	1052	1274	1352	854	1332
LOC100129620	7	1	5	1	4	0	1
LOC729987	0	0	0	0	0	0	0
PALMD	111	184	119	208	114	239	310
HIAT1	4353	4217	5466	4828	5399	3476	3292
LPPR4	1865	658	1663	918	2423	592	1250
VCAM1	837	1634	316	2654	1161	2590	4908
CDC14A	511	343	489	605	654	428	376
OLFM3	2	0	0	0	2	0	0
COL11A1	9	43	0	13	58	23	28
RNPC3	287	356	355	391	356	419	392
AMY1A	0	0	0	0	0	0	0
AMY1B	0	0	0	0	0	0	0
AMY1C	0	0	0	0	0	0	0
VAV3	1586	2295	1777	1678	1569	1497	1231
VAV3-AS1	9	5	1	3	2	0	0
MYBPHL	13	14	34	112	44	30	58
WDR47	1901	1483	2054	1786	2171	1359	988
KIAA1324	33168	33217	41472	43519	51942	27844	31139
GPSM2	156	216	211	234	346	182	145
STXBP3	2848	3391	3839	4105	4080	3088	3320
GSTM1	342	354	4	16	435	4	406
KCNC4	999	981	1276	1487	1534	892	1118
RBM15	411	340	463	549	433	289	285
DRAM2	2456	3129	2806	3188	3236	2427	2538
ADORA3	48	14	119	41	267	34	31
ST7L	717	1167	1181	1105	852	477	747
KCND3	395	480	906	764	469	527	413
CTTNBP2NL	1337	1281	1359	2180	1453	1581	1571
LRIG2	618	696	811	792	709	622	460
MAGI3	1196	1160	1032	1465	1342	750	901
LINC01356	0	0	2	0	0	0	0
TRIM33	3355	3305	4704	3520	3597	2682	2464
DENND2C	96	154	87	157	84	120	103
SYT6	0	12	4	2	6	4	2
AP4B1-AS1	16	14	9	15	4	11	15
BCL2L15	112	425	180	650	116	260	276
SYCP1	0	0	0	0	1	0	0
NGF	16	24	60	31	58	21	12
TSPAN2	3523	3422	5944	3604	5784	3755	3828
CASQ2	4	0	0	6	0	0	0
CD2	4	4	15	23	24	21	21
IGSF3	724	898	482	1453	717	1084	1221
SLC22A15	1850	1190	1604	1215	1906	1071	871
ATP1A1	44217	74570	38289	72198	50711	43671	51568
CD101	50	23	91	57	101	65	61
VTCN1	1114	1625	1642	4460	747	2485	2831
MAN1A2	3332	3721	3510	3187	3302	2572	2225
LOC101929099	13	28	7	31	15	16	17
SPAG17	0	20	5	8	4	6	17
HAO2	2	0	2	0	0	4	2
WARS2	660	750	726	907	929	679	559
FAM72B	1	4	6	17	11	4	4
SRGAP2-AS1	0	0	0	0	1	0	0
LINC00623	0	0	0	0	0	0	0
LINC00869	1	0	0	0	0	0	0
LIX1L	2681	1992	2776	2880	3242	1983	1647
PDE4DIP	12162	11778	12140	12690	14324	9125	6963
RNF115	1757	2114	1747	2081	2032	1334	1185
NOTCH2NL	375	600	129	466	537	353	624
SEC22B	5613	7328	6278	7224	8561	5208	5686
FMO5	273	449	206	526	215	315	433
NBPF12	26	27	40	38	58	28	22
NBPF11	0	0	6	1	1	0	0
LOC101927468	9	6	13	5	8	6	10
LINC00624	0	0	0	0	4	0	0
BCL9	3774	2811	5195	4136	4683	2750	2041
GPR89B	28	42	41	30	50	32	27
FAM231D	0	0	0	0	0	0	0
PPIAL4B+PPIAL4C	0	0	0	0	0	0	0
LOC388692	9	3	9	12	11	5	15
ENSA	9291	11427	11800	14016	13580	8920	9247
TARS2	945	1593	1037	1694	1726	1069	967
VPS45	1679	1769	1749	2324	2189	1580	1711
CTSS	2021	2408	2148	6204	4131	2199	4141
RPRD2	3783	3890	5179	4590	4903	3368	2614
TUFT1	1755	2305	1896	1972	2565	1558	1767
ZNF687	2199	2719	2793	2867	3244	1889	1659
POGZ	4356	3995	5742	5140	5089	4310	3547
SNX27	2915	2872	3133	2976	3634	2455	1755
RORC	2843	2907	4674	3378	4195	2191	1462
FLG-AS1	467	417	423	196	237	171	275
CHTOP	3003	2744	3478	4620	4021	2626	2333
NUP210L	2	20	4	9	8	1	5
GATAD2B	2010	2032	2914	2320	2259	1634	1492
KCNN3	266	137	360	456	337	186	224
PBXIP1	5693	5255	5205	12859	9588	7156	8019
IL6R	5050	4225	7421	5492	6260	3444	3198
EFNA3	158	56	77	130	113	71	47
LMNA	6163	6309	5297	13395	6529	6023	6054
MSTO1	60	86	70	74	50	83	52
ASH1L	6795	7053	9113	7375	8448	4939	4399
MSTO2P	0	0	0	0	0	0	0
SYT11	11467	11560	12246	10983	14816	8266	5513
MIR7851	0	0	0	1	0	0	0
IQGAP3	18	90	30	55	42	36	76
LRRC71	2	0	0	0	0	0	0
PRCC	1629	1776	1858	2206	2145	1576	1266
FCRL4	0	0	2	2	0	2	2
CD5L	0	0	0	0	0	0	0
IFI16	399	264	663	631	740	622	782
SPTA1	2	0	0	2	0	0	0
COPA	13734	16439	14457	19284	16859	11765	10723
KCNJ10	3	2	0	6	4	1	0
IGSF9	59	65	51	237	32	194	93
CASQ1	2	2	6	7	2	5	6
FCRL6	0	2	0	0	1	0	0
CD244	18	6	38	2	14	6	5
PFDN2	1667	1715	1944	2529	2309	1524	1485
NOS1AP	42	48	23	48	20	14	23
ATF6	4333	6225	6146	7403	6215	4587	4210
NUF2	23	113	62	72	72	33	78
RGS5	779	303	1512	1279	819	730	418
DDR2	216	130	307	248	342	205	182
RXRG	2286	1829	1432	1500	954	1360	1163
LMX1A	8	0	0	24	0	0	4
LOC400794	0	0	0	0	0	0	0
FMO9P	0	0	0	0	0	0	0
UCK2	1349	1481	2139	2242	1941	1572	1023
FAM78B	73	171	113	148	173	110	37
MAEL	81	21	35	77	34	30	16
POU2F1	1454	1471	1967	1746	1738	1225	1000
RCSD1	12	10	23	41	35	33	32
DCAF6	2757	3300	2895	4338	3577	2912	3003
MPC2	5558	4189	5153	7046	6974	4332	6326
TIPRL	2632	2852	3612	3678	3505	2510	2764
DPT	33	10	2	40	22	15	3
BLZF1	678	778	775	909	778	593	599
ATP1B1	16783	28327	17083	29897	23155	19265	25474
NME7	693	801	685	784	852	518	643
LINC00970	0	0	0	0	0	2	1
PRRX1	324	54	237	568	478	603	343
KIFAP3	3325	3222	3403	4215	3935	3091	3087
METTL11B	0	0	0	0	0	0	0
FMO4	66	191	54	225	97	125	125
VAMP4	3005	2954	3697	2502	3675	2234	2082
FMO2	10	18	5	15	5	11	35
SLC9C2	0	13	2	7	2	4	2
DARS2	1017	1597	1017	2272	1370	964	1038
RC3H1	1756	2035	2500	2310	2078	1813	1645
LOC100506023	95	117	144	128	201	89	67
RABGAP1L	3085	3473	3798	3726	4111	2846	2554
CACYBP	2604	2764	3533	3463	3995	2305	2169
TNR	194	344	245	403	588	202	255
PAPPA2	4563	1673	5131	8323	15239	2570	12513
ASTN1	807	226	678	549	1124	302	781
LOC730102	1732	1298	2337	1395	1698	1306	1459
ABL2	2192	1917	2393	2335	2383	1602	1411
FAM20B	6534	6482	8223	7607	7741	4694	4488
RALGPS2	1343	1358	2037	1887	1762	1010	1317
TDRD5	120	421	84	80	124	100	362
AXDND1	2	9	11	17	15	6	7
LHX4	10	11	34	17	17	16	16
TOR1AIP2	3641	4519	4840	5219	4421	3697	3105
CEP350	4497	4694	5497	5065	4937	3100	2836
MR1	3227	3190	1790	3475	3190	1571	2303
XPR1	7269	6841	7476	8982	7501	4875	4260
CACNA1E	14	4	15	18	20	28	11
LINC01344	0	0	0	0	0	0	0
LAMC1	6089	6852	5588	14472	6349	7417	7035
DHX9	9673	10332	11830	11516	11376	8155	6918
NMNAT2	7581	6163	7494	5719	9589	4680	4345
RGL1	2152	3138	2957	2429	3373	2178	1789
TSEN15	1796	1438	1742	1958	2373	1604	1201
EDEM3	6712	8214	9118	8028	8334	5313	4975
FAM129A	777	3436	1708	1623	911	804	683
SWT1	392	455	518	645	634	401	227
C1orf27	2597	4003	2914	2808	3553	2170	2035
HMCN1	66	45	36	128	304	78	110
RNU6-72P	0	0	0	0	0	0	0
MIR548F1	0	0	0	0	0	0	0
PLA2G4A	275	335	179	725	403	221	296
LOC440704	0	0	0	0	0	0	0
BRINP3	30	10	45	19	16	13	3
LINC01351	2	0	9	2	2	10	0
RGS18	15	0	14	4	16	11	8
CDC73	3182	3931	4378	3701	4191	2888	2531
GLRX2	352	335	311	652	461	368	299
CFHR4	0	0	0	0	0	0	0
KCNT2	356	320	411	451	341	280	200
DENND1B	822	924	1194	856	968	753	793
CRB1	105	40	92	70	133	34	75
PTPRC	51	70	200	113	311	135	129
MIR181A1HG	0	0	0	0	2	0	0
LINC01222	0	0	0	0	0	0	0
NR5A2	1615	4042	1170	4417	823	2150	2467
CACNA1S	0	0	2	0	0	0	0
IGFN1	9	16	4	43	16	0	8
CAMSAP2	2739	2292	3372	3177	3079	2167	1939
KIF14	6	24	5	21	37	26	34
IPO9-AS1	4	9	5	0	6	3	4
CSRP1	6422	7478	6230	11484	6601	6317	5748
NAV1	6899	5204	9011	8829	8999	6050	4920
ELF3	4975	8893	5228	17193	4829	9061	9705
ARL8A	2066	1696	2607	2756	2787	1568	1792
LGR6	10	12	10	2	0	10	0
IPO9	4451	5631	5144	5280	5344	3645	3226
KDM5B	3541	3355	3844	4373	3997	3230	2862
PPFIA4	21	24	101	67	51	47	55
SYT2	10	8	10	17	6	12	7
PLEKHA6	4701	7386	9256	7472	12663	7069	5190
SOX13	1301	1013	1845	1971	2184	1223	1176
ZC3H11A	6706	7620	7690	7833	7498	5969	5552
ATP2B4	6133	6055	5335	8592	7810	5326	5775
LEMD1	0	0	10	12	4	4	28
DSTYK	3120	3110	4147	3372	3901	2723	1687
NFASC	12957	11214	12504	15257	16654	10064	8497
LRRN2	143	100	224	333	263	359	331
FAIM3	28	39	52	92	76	53	64
YOD1	944	1376	1511	1239	1265	727	708
RASSF5	2926	3982	4099	4237	4055	2886	2812
CR1L	0	0	0	8	1	5	0
CR1	2	0	6	0	15	6	4
PLXNA2	5993	5438	8019	6161	5514	4391	4118
SYT14	1096	1036	1556	828	1220	712	592
IRF6	5292	4615	5074	7838	6868	4116	5933
KCNH1	428	753	521	615	207	466	328
LPGAT1	5886	6079	7034	9527	7470	6043	5957
INTS7	1782	1725	1971	1816	1886	1429	1030
PPP2R5A	3144	3912	3504	4534	5121	2939	2714
RPS6KC1	1495	1750	1713	1911	2004	1313	972
PROX1	3166	3040	4739	3613	3815	2547	2539
CENPF	83	122	103	221	214	103	265
PTPN14	211	499	245	625	222	397	474
KCNK2	22	6	4	6	4	0	0
KCTD3	5099	4833	6620	6526	7230	4460	4540
SPATA17	29	45	45	81	55	49	57
GPATCH2	445	464	557	578	570	382	330
RRP15	983	1255	1539	1607	918	891	874
